0 0.0579732 
50000 1.72202e-05 
100000 1.35752e-05 
150000 1.01905e-05 
200000 8.35982e-06 
250000 6.86502e-06 
300000 6.01886e-06 
350000 5.38749e-06 
400000 4.68355e-06 
450000 4.11888e-06 
500000 3.58351e-06 
550000 2.87207e-06 
600000 2.36464e-06 
650000 1.97864e-06 
700000 1.70832e-06 
750000 1.52739e-06 
800000 1.40417e-06 
850000 1.26636e-06 
900000 1.25941e-06 
950000 1.19979e-06 
1e+06 1.18332e-06 
1.05e+06 1.16317e-06 
1.1e+06 1.16273e-06 
1.15e+06 1.15105e-06 
1.2e+06 1.14322e-06 
1.25e+06 1.15367e-06 
1.3e+06 1.14852e-06 
1.35e+06 1.12815e-06 
1.4e+06 1.1228e-06 
1.45e+06 1.12277e-06 
1.5e+06 1.14876e-06 
1.55e+06 1.12467e-06 
1.6e+06 1.13516e-06 
1.65e+06 1.13433e-06 
1.7e+06 1.1146e-06 
1.75e+06 1.14529e-06 
1.8e+06 1.12692e-06 
